Country Name,Country Code,Indicator Name,Indicator Code,1970,1980,1990,2000,2010,2016,2017
Burundi,BDI,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,0.02938916932,8.495674857,,
Burundi,BDI,High-technology exports (current US$),TX.VAL.TECH.CD,,,,57,529867,,
Burundi,BDI,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,
Burundi,BDI,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,
Burundi,BDI,"Trademark applications, total",IP.TMK.TOTL,104,110,101,,,,
Burundi,BDI,"Trademark applications, direct resident",IP.TMK.RESD,,,14,,,,
Burundi,BDI,"Trademark applications, direct nonresident",IP.TMK.NRES,104,110,87,,,,
Burundi,BDI,"Patent applications, residents",IP.PAT.RESD,,,,,,,
Burundi,BDI,"Patent applications, nonresidents",IP.PAT.NRES,4,10,3,,,,
Burundi,BDI,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,12.5,10.7,
Burundi,BDI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,0.1378,,
Burundi,BDI,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,
Burundi,BDI,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,75910.00771,,,,
Belgium,BEL,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,10.73111062,10.47916271,12.53606308,
Belgium,BEL,High-technology exports (current US$),TX.VAL.TECH.CD,,,,15704395243,31948749412,38067700071,
Belgium,BEL,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,1405.09389,1317.53568,,
Belgium,BEL,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,2974.14344,3735.82335,,
Belgium,BEL,"Trademark applications, total",IP.TMK.TOTL,6323,8048,33102,37104,25671,24326,
Belgium,BEL,"Trademark applications, direct resident",IP.TMK.RESD,2849,4949,14466,22961,20850,20119,
Belgium,BEL,"Trademark applications, direct nonresident",IP.TMK.NRES,3474,3099,18636,14143,4821,4207,
Belgium,BEL,"Patent applications, residents",IP.PAT.RESD,1339,865,643,577,620,1054,
Belgium,BEL,"Patent applications, nonresidents",IP.PAT.NRES,15848,5104,613,243,140,119,
Belgium,BEL,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,15409.4,16393.7,
Belgium,BEL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,1.92401,2.05137,,
Belgium,BEL,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,2480815508,3535901723,3513801780
Belgium,BEL,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,1905569305,3013759608,3589223167
Benin,BEN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,0.1043141638,0.7311224198,2.830054462,
Benin,BEN,High-technology exports (current US$),TX.VAL.TECH.CD,,,,14093,135491,1317651,
Benin,BEN,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,
Benin,BEN,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,
Benin,BEN,"Trademark applications, total",IP.TMK.TOTL,,,,,,,
Benin,BEN,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,
Benin,BEN,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,
Benin,BEN,"Patent applications, residents",IP.PAT.RESD,,,,,,,
Benin,BEN,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,
Benin,BEN,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,108.9,167.3,
Benin,BEN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,
Benin,BEN,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,2019.072068,876.782205,
Benin,BEN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,366585.2492,2881215.841,596329.9277,
Burkina Faso,BFA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,3.175463381,7.80400791,4.386817801,
Burkina Faso,BFA,High-technology exports (current US$),TX.VAL.TECH.CD,,,,1056535,2864513,5010517,
Burkina Faso,BFA,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,37.06644,,
Burkina Faso,BFA,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,47.495,,
Burkina Faso,BFA,"Trademark applications, total",IP.TMK.TOTL,,,,5,34,,
Burkina Faso,BFA,"Trademark applications, direct resident",IP.TMK.RESD,,,,5,34,,
Burkina Faso,BFA,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,
Burkina Faso,BFA,"Patent applications, residents",IP.PAT.RESD,,,,2,2,,
Burkina Faso,BFA,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,
Burkina Faso,BFA,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,130.9,221.8,
Burkina Faso,BFA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,
Burkina Faso,BFA,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,448233.999,701425.764,
Burkina Faso,BFA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,111048.9637,460310.6576,
Bangladesh,BGD,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,0.4839684063,0.2130221467,0.1788231448,,
Bangladesh,BGD,High-technology exports (current US$),TX.VAL.TECH.CD,,,5837385,10591240,31530160,,
Bangladesh,BGD,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,
Bangladesh,BGD,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,
Bangladesh,BGD,"Trademark applications, total",IP.TMK.TOTL,,1193,2474,6170,10231,12375,
Bangladesh,BGD,"Trademark applications, direct resident",IP.TMK.RESD,,781,2008,4639,7857,8580,
Bangladesh,BGD,"Trademark applications, direct nonresident",IP.TMK.NRES,,412,466,1531,2374,3795,
Bangladesh,BGD,"Patent applications, residents",IP.PAT.RESD,,34,32,70,66,77,
Bangladesh,BGD,"Patent applications, nonresidents",IP.PAT.NRES,,102,76,248,276,267,
Bangladesh,BGD,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,1497.8,2546.1,
Bangladesh,BGD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,
Bangladesh,BGD,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,57734.20479,516648.0673,343448.873,86492.89468
Bangladesh,BGD,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,4420433.713,17636698.54,46456470.74,25453081.14
Bulgaria,BGR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,2.871843797,7.913048156,7.957681218,
Bulgaria,BGR,High-technology exports (current US$),TX.VAL.TECH.CD,,,,78619198,802458914,1185954426,
Bulgaria,BGR,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,479.09446,500.04745,,
Bulgaria,BGR,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,1184.79947,1482.18709,,
Bulgaria,BGR,"Trademark applications, total",IP.TMK.TOTL,576,495,4830,8982,6921,5951,
Bulgaria,BGR,"Trademark applications, direct resident",IP.TMK.RESD,70,42,382,3256,4308,4234,
Bulgaria,BGR,"Trademark applications, direct nonresident",IP.TMK.NRES,506,453,4448,5726,2613,1717,
Bulgaria,BGR,"Patent applications, residents",IP.PAT.RESD,1908,3297,198,231,243,230,
Bulgaria,BGR,"Patent applications, nonresidents",IP.PAT.NRES,886,804,331,709,17,11,
Bulgaria,BGR,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,2599.1,2558.7,
Bulgaria,BGR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,0.49885,0.56387,,
Bulgaria,BGR,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,3522183,18320000,50430000,49200000
Bulgaria,BGR,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,9860817.7,114240000,183510000,176570000
Bahrain,BHR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,0.03605719557,0.1102604521,1.048162884,
Bahrain,BHR,High-technology exports (current US$),TX.VAL.TECH.CD,,,,217021,964226,21343155,
Bahrain,BHR,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,
Bahrain,BHR,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,
Bahrain,BHR,"Trademark applications, total",IP.TMK.TOTL,205,790,929,2998,1660,7903,
Bahrain,BHR,"Trademark applications, direct resident",IP.TMK.RESD,10,46,112,215,,371,
